time (seconds),x,y,z
4.655,0,0,-1023
4.757,0,0,-1023
4.859,0,0,-1023
4.959,0,0,-1023
5.063,0,0,-1023
5.164,0,0,-1023
5.267,0,0,-1023
5.367,0,0,-1023
5.476,0,0,-1023
5.576,0,0,-1023
5.684,0,0,-1023
5.784,0,0,-1023
5.888,0,0,-1023
5.988,0,0,-1023
6.092,0,0,-1023
6.193,0,0,-1023
6.292,0,0,-1023
6.393,0,0,-1023
6.5,0,0,-1023
6.601,0,0,-1023
6.709,0,0,-1023
6.809,0,0,-1023
6.913,0,0,-1023
7.013,0,0,-1023
7.117,0,0,-1023
7.218,0,0,-1023
7.321,0,0,-1023
7.422,0,0,-1023
7.521,0,0,-1023
7.622,0,0,-1023
7.725,0,0,-1023
7.826,0,0,-1023
7.926,0,0,-1023
8.026,0,0,-1023
8.13,0,0,-1023
8.23,0,0,-1023
8.334,0,0,-1023
8.434,0,0,-1023
8.538,0,0,-1023
8.638,0,0,-1023
8.742,0,0,-1023
8.842,0,0,-1023
8.95,0,0,-1023
9.051,0,0,-1023
9.155,0,0,-1023
9.255,0,0,-1023
9.359,0,0,-1023
9.459,0,0,-1023
9.563,0,0,-1023
9.663,0,0,-1023
9.771,0,0,-1023
9.872,0,0,-1023
9.975,0,0,-1023
10.076,0,0,-1023
10.18,0,0,-1023
10.28,0,0,-1023
10.384,0,0,-1023
10.484,0,0,-1023
10.588,0,0,-1023
10.688,0,0,-1023
10.796,0,0,-1023
10.897,0,0,-1023
11.008,0,0,-1023
11.109,0,0,-1023
11.217,0,0,-1023
11.318,0,0,-1023
11.421,0,0,-1023
11.521,0,0,-1023
11.625,0,0,-1023
11.726,0,0,-1023
11.83,0,0,-1023
11.93,0,0,-1023
12.034,0,0,-1023
12.134,0,0,-1023
12.238,0,0,-1023
12.338,0,0,-1023
12.442,0,0,-1023
12.543,0,0,-1023
12.646,0,0,-1023
12.747,0,0,-1023
12.85,0,0,-1023
12.951,0,0,-1023
13.055,0,0,-1023
13.155,0,0,-1023
13.259,0,0,-1023
13.359,0,0,-1023
13.463,0,0,-1023
13.563,0,0,-1023
13.667,0,0,-1023
13.767,0,0,-1023
13.871,0,0,-1023
13.972,0,0,-1023
14.08,0,0,-1023
14.18,0,0,-1023
14.284,0,0,-1023
14.384,0,0,-1023
14.488,0,0,-1023
14.588,-908,385,-272
14.689,-112,190,-999
14.789,123,-788,-641
14.89,-477,-690,-586
14.992,-433,661,-650
15.096,1023,579,579
15.197,627,-863,302
15.297,108,217,-994
15.401,1023,603,603
15.501,780,-1023,780
15.605,-659,-878,398
15.705,-372,643,-704
15.806,984,-257,-111
15.909,641,-1023,641
16.009,-898,17,-490
16.112,784,831,508
16.213,1023,-598,598
16.314,-96,-962,-335
16.417,-322,730,-641
16.517,623,540,-606
16.62,-911,-514,218
16.724,-1023,-360,360
16.825,1023,-151,151
16.926,535,-317,-813
17.029,-809,-206,-592
17.134,1023,-64,64
17.234,575,-173,-829
17.338,-1023,-163,163
17.438,989,25,-261
17.539,911,-39,-464
17.642,-841,-51,-581
17.746,300,41,-978
17.847,1023,42,42
17.948,-548,-120,-856
18.05,-949,-182,-336
18.151,1023,-83,83
18.254,322,-75,-969
18.36,-1023,-52,52
18.463,1023,85,85
18.567,1023,-27,27
18.667,-1023,-95,95
18.77,104,-42,-1017
18.871,1023,-58,58
18.972,-403,-98,-936
19.075,-577,-55,-843
19.179,1023,172,172
19.28,815,110,-609
19.382,-306,145,-966
19.484,1023,198,198
19.588,738,142,-695
19.688,940,266,-304
19.792,922,254,-364
19.892,944,703,582
19.994,950,749,645
20.096,916,-1023,916
20.197,860,-599,227
20.3,671,1023,671
20.401,679,-372,-669
20.502,485,-869,-237
20.606,120,1023,120
20.708,-3,1013,-143
20.817,-116,-1023,116
20.917,-296,415,-887
21.018,-444,975,318
21.121,-200,-1023,200
21.222,-221,-484,-874
21.324,-236,899,-428
21.425,-183,-1023,183
21.525,-131,-738,-697
21.628,-188,1023,188
21.73,143,-1023,143
21.831,-199,-1023,199
21.934,-811,5,-624
22.04,1023,-1023,1023
22.142,908,-650,447
22.246,-711,926,562
22.346,752,-249,-648
22.45,1023,-1023,1023
22.551,-1023,967,967
22.652,-200,101,-999
22.754,1023,-1023,1023
22.855,-561,523,-677
22.958,-327,924,-293
23.058,378,-88,-947
23.159,-777,-712,253
23.259,-26,901,-484
23.36,535,1023,535
23.466,-1023,-907,907
23.567,-1023,-82,82
23.669,638,999,598
23.771,15,-481,-903
23.875,-1023,-943,943
23.976,-39,1023,39
24.078,638,-47,-799
24.179,-697,-374,-649
24.28,-725,1023,725
24.38,672,534,-557
24.48,-174,-675,-749
24.58,-1023,868,868
24.682,613,597,-561
24.784,620,-147,-801
24.884,408,-19,-938
24.988,409,-6,-938
25.096,409,-6,-938
25.196,409,-6,-938
25.3,409,-6,-938
25.4,409,-6,-938
25.504,409,-6,-938
25.604,409,-6,-938
25.713,409,-6,-938
25.813,409,-6,-938
25.917,409,-6,-938
26.017,409,-6,-938
26.125,409,-6,-938
26.225,409,-6,-938
26.329,409,-6,-938
26.429,409,-6,-938
26.529,409,-6,-938
26.63,409,-6,-938
26.733,409,-6,-938
26.834,409,-6,-938
26.938,409,-6,-938
27.038,409,-6,-938
27.146,409,-6,-938
27.246,409,-6,-938
27.35,409,-6,-938
27.451,409,-6,-938
27.554,409,-6,-938
27.654,409,-6,-938
27.758,409,-6,-938
27.859,409,-6,-938
27.958,409,-6,-938
28.059,409,-6,-938
28.163,409,-6,-938
28.263,409,-6,-938
28.367,409,-6,-938
28.467,409,-6,-938
28.571,409,-6,-938
28.671,409,-6,-938
28.775,409,-6,-938
28.876,409,-6,-938
28.979,409,-6,-938
29.079,409,-6,-938
29.184,409,-6,-938
29.284,409,-6,-938
29.387,409,-6,-938
29.488,409,-6,-938
29.596,409,-6,-938
29.696,409,-6,-938
29.8,409,-6,-938
29.901,409,-6,-938
30.009,409,-6,-938
30.108,409,-6,-938
30.209,409,-6,-938
30.309,409,-6,-938
30.417,409,-6,-938
30.517,409,-6,-938
30.621,409,-6,-938
30.721,409,-6,-938
30.825,409,-6,-938
30.925,409,-6,-938
31.029,409,-6,-938
31.129,409,-6,-938
31.238,409,-6,-938
31.338,409,-6,-938
31.445,409,-6,-938
31.546,409,-6,-938
31.65,409,-6,-938
31.75,409,-6,-938
31.854,409,-6,-938
31.954,409,-6,-938
32.058,409,-6,-938
32.159,409,-6,-938
32.262,409,-6,-938
32.363,409,-6,-938
32.471,409,-6,-938
32.571,409,-6,-938
32.675,409,-6,-938
32.775,409,-6,-938
32.879,409,-6,-938
32.98,409,-6,-938
33.083,409,-6,-938
33.184,409,-6,-938
33.287,409,-6,-938
33.388,409,-6,-938
33.496,409,-6,-938
